" ",710243
"e",384593
"t",289652
"a",250385
"o",238167
"n",209929
"s",203561
"i",198671
"h",176799
"r",174354
"l",133368
"d",122332
"u",113842
"m",86814
"g",80668
"y",76694
"w",70481
"c",65067
"f",57917
"p",50193
",",45920
"b",44393
".",39582
"""",35347
"k",35039
"'",32457
"I",31150
"v",27168
"!",16694
"A",13196
"…",12598
"?",12368
"T",10336
"D",9165
"W",8052
"q",6414
"S",6239
"-",5860
"x",5663
"M",5662
"H",5499
"z",5164
"j",4531
"K",4277
"Y",3939
"E",3137
"C",3044
"B",2730
"N",2217
"O",2074
"L",1703
"–",1702
"F",1244
"P",1197
"R",1025
"G",1024
"J",960
"U",885
"V",852
"—",725
":",677
";",546
"0",301
"─",258
"Z",248
")",129
"(",127
"‑",115
"2",90
"~",74
"1",71
"3",58
"5",43
"é",41
"4",31
"<",31
">",31
"Q",30
"X",29
"*",20
"6",18
"ー",17
"8",15
"7",7
"9",7
"·",6
"ï",5
"/",4
"♂",3
"△",3
"×",2
"❤",2
"&",2
"^",2
"%",2
"↓",1
"―",1
"°",1
"ō",1
"†",1
"ç",1
"□",1
